Ticker,Sector,Industry,WACC_Company,WACC_Unadjusted,WACC_Industry,Beta,Cost_of_Equity,Terminal_Growth,Terminal_Method,Debt_Ratio,Equity_Ratio,Risk_Free_Rate,Market_Return,Equity_Risk_Premium
AAPL,Technology,Consumer Electronics,9.262580694525818,9.262580694525818,9.41,1.094,9.34018,3.7500000000000004,company_specific,0.013413464312982836,0.9865865356870172,4.45,8.92,4.470000000000001
MSFT,Technology,Software - Infrastructure,8.931966036309452,8.931966036309452,9.41,1.023,9.02281,4.0,company_specific,0.015363337371625574,0.9846366626283745,4.45,8.92,4.470000000000001
GOOGL,Communication Services,Internet Content & Information,8.92,8.92,9.56,1.0,8.92,3.7500000000000004,company_specific,0.0,1.0,4.45,8.92,4.470000000000001
META,Communication Services,Internet Content & Information,9.03303590896319,9.818517292351295,9.56,1.203,9.82741,3.75,company_specific,0.0010782424602032489,0.9989217575397967,4.45,8.92,4.470000000000001
JPM,Financial Services,Banks - Diversified,10.31679039266353,10.31679039266353,5.99,1.127,9.48769,3.0000000000000004,company_specific,0.3509701913227014,0.6490298086772985,4.45,8.92,4.470000000000001
BAC,Financial Services,Banks - Diversified,10.200934367249912,11.087972138315122,5.99,1.334,10.412980000000001,2.2500000000000004,company_specific,0.4697165928902329,0.5302834071097671,4.45,8.92,4.470000000000001
WFC,Financial Services,Banks - Diversified,9.91396614909569,10.776050162060532,5.99,1.24,9.9928,2.7500000000000004,company_specific,0.42173711073687953,0.5782628892631205,4.45,8.92,4.470000000000001
JNJ,Healthcare,Drug Manufacturers - General,6.032325766335932,6.032325766335932,7.920000000000001,0.392,6.20224,4.000000000000001,company_specific,0.037146968578019475,0.9628530314219805,4.45,8.92,4.470000000000001
UNH,Healthcare,Healthcare Plans,6.280909180284692,6.280909180284692,7.920000000000001,0.478,6.58666,3.0,company_specific,0.11877494911194604,0.8812250508880539,4.45,8.92,4.470000000000001
PFE,Healthcare,Drug Manufacturers - General,5.82882167865608,5.82882167865608,7.920000000000001,0.465,6.528549999999999,3.5000000000000004,company_specific,0.2599233798877147,0.7400766201122854,4.45,8.92,4.470000000000001
PG,Consumer Defensive,Household & Personal Products,5.799301904199016,5.799301904199016,6.77,0.364,6.07708,3.7500000000000004,company_specific,0.06847593593956905,0.931524064060431,4.45,8.92,4.470000000000001
KO,Consumer Defensive,Beverages - Non-Alcoholic,6.019272375924043,6.019272375924043,6.77,0.424,6.345280000000001,3.7500000000000004,company_specific,0.09569131210067008,0.9043086878993299,4.45,8.92,4.470000000000001
WMT,Consumer Defensive,Discount Stores,7.222181028166394,7.222181028166394,6.77,0.671,7.44937,2.75,company_specific,0.05879152591896542,0.9412084740810346,4.45,8.92,4.470000000000001
CAT,Industrials,Farm & Heavy Construction Mach,9.021573733644423,9.806058406135243,7.64,1.465,10.99855,2.5,company_specific,0.12661095326401167,0.8733890467359883,4.45,8.92,4.470000000000001
BA,Industrials,Aerospace & Defense,9.078878865827964,9.868346593291264,7.64,1.47,11.020900000000001,2.2500000000000004,company_specific,0.16352550229766874,0.8364744977023313,4.45,8.92,4.470000000000001
GE,Industrials,Aerospace & Defense,10.077283376410918,10.953568887403172,7.64,1.493,11.12371,3.4999999999999996,company_specific,0.02402411368217337,0.9759758863178266,4.45,8.92,4.470000000000001
